symbol,company_name,sector,industry,summary,market_cap_category,yf_symbol,is_index
NIFTY50,NIFTY 50 Index,,,,,^NSEI,true
SENSEX,BSE SENSEX,,,,,^BSESN,true
NIFTYBANK,NIFTY Bank Index,,,,,^NSEBANK,true
NIFTY100, NIFTY 100,,,,,^CNX100,true
NIFTYMIDCAP150, NIFTY MIDCAP 150,,,,,NIFTYMIDCAP150.NS,true
NIFTYSMALLCAP250, NIFTY SMALL CAP 250,,,,,NIFTYSMLCAP250.NS, true
NIFTY500, NIFTY 500,,,,,^CRSLDX,true
NIFTYIT, NIFTY IT,,,,,^CNXIT,true
NIFTYPHARMA, NIFTY PHARMA,,,,,^CNXPHARMA,true
NIFTYAUTO, NIFTY AUTO,,,,,^CNXAUTO,true
NIFTYFMCG, NIFTY FMCG,,,,,^CNXFMCG,true
NIFTYMETAL, NIFTY METAL,,,,,^CNXMETAL,true
NIFTYPHARMA, NIFTY PHARMA,,,,,^CNXPHARMA,true